mu,threshold,relative_diff_log,sum,difference
0.14006770214132191,0.2862857839858654,0.5536430163849781,0.4263534861271873,-0.1462180818445435
0.083543074944101,0.08908189608136342,0.01989937257788405,0.17262497102546442,-0.005538821137262423
0.09886254545543749,0.10956169570885359,0.06228886688352614,0.2084242411642911,-0.010699150253416098
0.16534958385460582,0.22469201691123902,0.25063977038545354,0.3900416007658448,-0.0593424330566332
0.15947827952017177,0.21089566103168522,0.11878828073707715,0.370373940551857,-0.051417381511513455
0.2370686688276405,0.4112831601935553,0.35361141192241746,0.6483518290211958,-0.17421449136591483
0.2186866639592673,0.2473229362762937,0.33294087674497186,0.46600960023556104,-0.028636272317026396
0.2509123572196584,0.23983807691006212,0.35932376786711784,0.4907504341297205,0.011074280309596257
0.199449428106542,0.2533276965543801,0.3097729010956841,0.4527771246609221,-0.05387826844783808
0.18676439399792547,0.2768548065201164,0.3255368284800824,0.46361920051804184,-0.09009041252219094
0.23368409124738584,0.7264947430837793,0.05525452756732141,0.9601788343311651,-0.4928106518363934
0.12966452858679614,0.19098806890973113,0.1772696388693258,0.3206525974965273,-0.061323540322934994
0.23705695540443272,0.5243002433197035,0.2748671990210586,0.7613571987241362,-0.28724328791527076
0.18737283049831754,0.28979796761914284,0.2262433629754534,0.4771707981174604,-0.1024251371208253
0.2132712876373258,0.29282294813964954,0.11619605019078481,0.5060942357769753,-0.07955166050232373
0.2527191891712457,0.6563244927696229,0.10718422783776575,0.9090436819408686,-0.4036053035983772
0.19577845002111036,0.28238928405173985,0.16885736633205567,0.4781677340728502,-0.0866108340306295
0.19225033430919103,0.1934277768526255,0.07745171424073556,0.3856781111618165,-0.0011774425434344649
0.23971444757092508,0.3241539263123865,0.10612718640570094,0.5638683738833116,-0.0844394787414614
0.2170837147116947,0.3726121831525527,0.11688550341359373,0.5896958978642474,-0.155528468440858
0.19270206787053865,0.3104392979317607,0.19937697404689564,0.5031413658022994,-0.11773723006122208
0.15565142934875162,0.2625932422417899,0.10421542260808266,0.4182446715905416,-0.10694181289303831
0.20187050385183627,0.4181146883656288,0.03992904449965349,0.6199851922174651,-0.21624418451379254
0.08294461504604582,0.1823375694932227,0.008361897235822986,0.2652821845392685,-0.09939295444717687
0.2150295736764577,0.4178440430150324,0.11780518375098216,0.6328736166914901,-0.20281446933857472
0.1416173965690202,0.35275301304305456,0.14466104521140272,0.4943704096120748,-0.21113561647403437
0.13929314030365877,0.35408517934339645,0.13905792654923513,0.49337831964705525,-0.21479203903973768
0.12014823541682006,0.3443712665266319,0.017728047273379063,0.464519501943452,-0.22422303110981184
0.13903852392296992,0.16259512077807797,0.19567326147254505,0.3016336447010479,-0.023556596855108053
0.26883931187426685,0.5150787384353375,0.2881476001103679,0.7839180503096044,-0.24623942656107062
0.3407831524949698,0.6072445595954133,0.11563945870176157,0.9480277120903832,-0.2664614071004435
0.23974894676008712,0.39473023940721774,0.26277263343687296,0.6344791861673049,-0.15498129264713062
0.20192460605266246,0.37233976791747453,0.39483174695171136,0.574264373970137,-0.17041516186481206
0.2996998611664876,0.5120267870237512,0.40640042634801055,0.8117266481902388,-0.21232692585726354
0.3676335312424497,0.6301755046113363,0.29251978763103015,0.997809035853786,-0.2625419733688866
0.20975398498401807,0.3218609979648252,0.18497348617958553,0.5316149829488432,-0.11210701298080714
0.24703161110213767,0.44774850426169177,0.1450224034949221,0.6947801153638294,-0.2007168931595541
0.2294002304701608,0.4705161191314438,0.016283669200329174,0.6999163496016046,-0.241115888661283
0.2963759357057699,0.5148758141130552,0.06110500626426591,0.8112517498188251,-0.21849987840728524
0.3370455021039667,0.8182723980907107,0.26938026855329267,1.1553179001946774,-0.481226895986744
0.22223354034263754,0.4183678744588132,0.006040679963260199,0.6406014148014507,-0.19613433411617565
0.3008227526002472,0.502412127740576,0.21449980630311172,0.8032348803408231,-0.20158937514032876
0.21054180160509972,0.3095529502092276,0.1349559032320433,0.5200947518143273,-0.09901114860412785
0.2797690696384966,0.4507178013017764,0.1351674888429039,0.730486870940273,-0.17094873166327978
0.1848744141043885,0.2507130922350578,0.18816348490994939,0.4355875063394463,-0.06583867813066926
0.23050555869517486,0.36781185564202834,0.14746879163842433,0.5983174143372032,-0.13730629694685348
0.24344045110955378,0.4836346519192128,0.5739948841838918,0.7270751030287665,-0.240194200809659
0.223629570082872,0.4365500235440023,0.2653582546619356,0.6601795936268743,-0.2129204534611303
0.25520099605506086,0.5783469451525384,0.18726056952645195,0.8335479412075992,-0.3231459490974775
0.13967937749505216,0.45366458693709716,0.20978994030240072,0.5933439644321493,-0.313985209442045
0.11290746685076099,0.14909201379777587,0.1191424013721382,0.26199948064853684,-0.03618454694701488
0.18040957962301649,0.3457400284134093,0.6193922117414311,0.5261496080364257,-0.1653304487903928
0.2153687875931102,0.3419579092656112,0.4616638875496747,0.5573266968587214,-0.126589121672501
0.16347123981021078,0.23787426857820884,0.02858664816446978,0.40134550838841965,-0.07440302876799806
0.2053188707903585,0.24641346070749295,0.3532748788637693,0.4517323314978514,-0.041094589917134466
0.22229183976201855,0.31323023400928235,0.3533411612098273,0.5355220737713009,-0.0909383942472638
0.1838053341879414,0.23720889865942965,0.1487405006641729,0.42101423284737105,-0.05340356447148825
0.16935231409331494,0.18023867946528616,0.0068848134275869355,0.3495909935586011,-0.010886365371971213
0.24489446352939595,0.6499200346043981,0.09452709995146076,0.894814498133794,-0.40502557107500214
0.15913924875433297,0.2136850108565376,0.035495406666887636,0.37282425961087057,-0.05454576210220463
