mu,threshold,relative_diff,sum,difference
-0.011819441528620168,0.4567178055255694,0.42514820336249143,0.4448983639969492,-0.4685372470541896
-0.06535108062347711,0.23396512713129192,-0.020510927633679038,0.1686140465078148,-0.299316207754769
-0.08365111024008826,0.3351684261760624,-0.06868403732300031,0.25151731593597415,-0.41881953641615066
-0.06245413940605475,0.575081718121795,0.221697311255783,0.5126275787157403,-0.6375358575278497
-0.14249441626415338,0.6727143749992809,-0.14433689381707604,0.5302199587351275,-0.8152087912634343
-0.19031777940465416,1.079189876175856,-0.7367191170460339,0.8888720967712018,-1.2695076555805103
-0.31891507254040546,1.017755273802397,-0.6530696597314701,0.6988402012619914,-1.3366703463428025
-0.2152735824641172,0.9511955860898431,-0.7616814239626162,0.7359220036257259,-1.1664691685539603
-0.16406103022334267,0.7152833265047891,-0.5701434508077606,0.5512222962814464,-0.8793443567281318
-0.08173782661051437,0.6690134477929743,-0.6254185092360194,0.5872756211824599,-0.7507512744034888
-0.07704335553443431,0.7602569724839735,-0.060231280623527166,0.6832136169495392,-0.8373003280184078
-0.1362546404299626,0.5419483158203282,-0.2406224233310838,0.4056936753903656,-0.6782029562502908
-0.7313064054070879,7.492973126865089,-0.4627492970927568,6.761666721458001,-8.224279532272178
-0.0880409224894607,0.6373399470417542,-0.3402683756762879,0.5492990245522935,-0.725380869531215
-0.08011065593741748,0.6568742346271523,-0.14053183602760538,0.5767635786897348,-0.7369848905645698
-0.07299412004417094,0.8100991179618713,0.10163984520460877,0.7371049979177003,-0.8830932380060422
-0.1270633094743819,0.6807309715571251,0.1553706326205577,0.5536676620827432,-0.8077942810315071
-0.16673868425615568,0.7476217299688388,-0.08758313156012944,0.5808830457126831,-0.9143604142249945
-0.1726139534865608,0.9039067458816813,-0.12607957912936116,0.7312927923951205,-1.0765206993682421
-0.10274157848850368,1.0099846750969874,-0.1415404304008198,0.9072430966084837,-1.1127262535854912
-0.06055773645554254,0.6700725496187875,-0.28310742676438233,0.609514813163245,-0.73063028607433
-0.02935153927800915,0.4907637142941247,-0.12339293349560006,0.46141217501611553,-0.5201152535721338
0.06601484885684111,0.5599341439072418,0.03914238513360174,0.6259489927640829,-0.4939192950504007
-0.05332035656992245,0.5499270763861625,-0.008468061484250519,0.49660671981624,-0.6032474329560849
0.08701971918543748,0.5690459721854133,0.11113079808829464,0.6560656913708508,-0.4820262529999758
0.0671864722999152,0.42584169319029747,0.13468445374379412,0.49302816549021267,-0.35865522089038226
0.06831016263528672,0.40913419360486114,0.12982237938849428,0.47744435624014786,-0.3408240309695744
0.0695133747343978,0.36542528027239507,-0.018211861411737543,0.43493865500679285,-0.2959119055379973
0.031056471164313405,0.40931068826039146,-0.2757208998911679,0.4403671594247049,-0.37825421709607804
-0.034384205267928354,0.953755425667697,-0.501398210214328,0.9193712203997686,-0.9881396309356254
4.7985568418381566e-05,1.207979046494807,-0.1397194089972153,1.2080270320632254,-1.2079310609263887
-0.05579733847451324,0.8263250966271101,-0.4296559003294715,0.7705277581525968,-0.8821224351016234
-0.11575590281740289,0.827650219546773,-0.9384896295758524,0.7118943167293701,-0.9434061223641759
-0.01872537082618689,1.0628181582365346,-1.0056303405894902,1.0440927874103476,-1.0815435290627216
0.029330176948846296,1.0309986827753599,-0.5146907915496322,1.0603288597242062,-1.0016685058265136
-0.07830222380301781,0.7157121989323395,-0.2549988780113991,0.6374099751293217,-0.7940144227353573
-0.09508040965624476,0.796340938347059,-0.18492603906546787,0.7012605286908142,-0.8914213480033037
-0.047668831534283716,0.7558530320514832,-0.016690986135022155,0.7081842005171995,-0.8035218635857669
-0.17986255398497136,1.8452470661077802,-0.06724785409275591,1.6653845121228088,-2.0251096200927514
0.001412484544050236,1.1113339451785793,0.23614726875998562,1.1127464297226295,-1.1099214606345291
-0.08225120191970349,0.9042117684563924,0.006022471737853589,0.8219605665366889,-0.9864629703760959
0.0264170744527472,0.8914821537377928,-0.3144782486605449,0.91789922819054,-0.8650650792850456
-0.10566951552394191,0.8929136419460828,-0.1688883738972276,0.7872441264221409,-0.9985831574700247
-0.022170491672628665,0.9861836892129612,-0.16921936149214586,0.9640131975403325,-1.0083541808855898
-0.053214618707014,0.7043658817421977,-0.26108307677274395,0.6511512630351837,-0.7575805004492118
0.056757452721398476,0.6934677619837433,0.13711063273545748,0.7502252147051417,-0.6367103092623448
0.1048913314161553,0.655475926963776,0.4367292632958581,0.7603672583799312,-0.5505845955476207
0.01842789396608481,0.6936984661953747,0.2330688559042048,0.7121263601614595,-0.6752705722292899
0.04020633355434139,0.7265104611934663,-0.2593530192224847,0.7667167947478077,-0.6863041276391249
-0.0265327716298039,0.5030205803428629,-0.30449348889156824,0.476487808713059,-0.5295533519726668
-0.047311817395626746,0.36323343001414493,0.11231861528595047,0.3159216126185182,-0.41054524740977166
-0.021974689760022932,0.5877229166993809,0.461728506712156,0.565748226939358,-0.6096976064594039
-0.07474104279044261,0.7562406338206117,0.36976586611435336,0.6814995910301691,-0.8309816766110543
-0.1924550638621959,0.7280692051440136,0.02818191575532579,0.5356141412818177,-0.9205242690062095
-0.17521720537214436,0.9378502126444914,-0.7352749280909027,0.7626330072723471,-1.1130674180166358
-0.09040024502139477,0.9692227887392119,-0.7355591419849318,0.8788225437178171,-1.0596230337606065
-0.21573181116390622,0.6951881403684329,-0.19100340006351987,0.4794563292045267,-0.9109199515323392
-0.20192213338163353,0.5540371743193983,-0.006956628583367741,0.3521150409377647,-0.7559593077010318
-0.08118237440827836,0.8153703927160892,0.09019692132732696,0.7341880183078109,-0.8965527671243676
