hour_num,dow,mu,sigma,count
0,0,-2.969821262295082,28.87372951796351,183
0,1,-4.588847972527473,21.572748293849205,182
0,2,-3.550801258241758,20.829229625027278,182
0,3,-3.28950010989011,20.25346761643884,182
0,4,-4.930240010989011,16.50609548675136,182
0,5,9.211181819672131,188.5445796658442,183
0,6,0.5057049945355189,29.007638673164738,183
1,0,-2.8348347868852457,22.02304172424295,183
1,1,-3.7501739560439558,16.005086613291713,182
1,2,-4.158473329670329,15.295632467088371,182
1,3,-2.1639938516483515,14.727907225882245,182
1,4,-1.7218174505494508,17.557304162460813,182
1,5,7.791542994535519,163.3009764264757,183
1,6,-0.8856771147540987,16.8580510395649,183
2,0,-2.6159673442622955,20.007716198595485,183
2,1,-2.791966450549451,12.453583210510814,182
2,2,-2.758391263736264,14.943975763747645,182
2,3,-2.1321592472527473,12.693685937576351,182
2,4,-2.038916247252747,10.906816611274525,182
2,5,10.584625797814208,167.83019992333158,183
2,6,0.2435496065573767,14.601651979470889,183
3,0,-2.5141941038251368,20.58827780087359,183
3,1,-1.773767516483517,12.166868310723054,182
3,2,-2.1653351483516485,14.978701252625244,182
3,3,-0.9279618461538464,12.341741828181126,182
3,4,-0.8872194835164833,10.511288707244265,182
3,5,1.266596010928963,43.22891591403425,183
3,6,0.309523426229508,14.267495713524447,183
4,0,-2.7103145274725273,14.233446509468482,182
4,1,-2.249824164835165,14.826518992020986,182
4,2,-2.442207346153846,10.549782710222596,182
4,3,-2.5146255934065933,8.698680839530725,182
4,4,-2.4191340989010985,7.178812681617383,182
4,5,1.7626652896174866,26.408389344845688,183
4,6,0.7068647049180324,17.84566149220767,183
5,0,0.45803992307692226,26.810852834448145,182
5,1,-0.571431038461538,11.822000551951865,182
5,2,0.23699623076923068,13.777135129626423,182
5,3,-0.5752646098901099,7.7074554872166665,182
5,4,-0.05534534972677601,11.041156087640726,183
5,5,11.72455281420765,125.47826864867555,183
5,6,-0.664369005464481,17.924017808211282,183
6,0,-2.075097043956044,9.03796134546269,182
6,1,-0.6347956208791212,13.177332664125144,182
6,2,-0.876636868131868,10.044029065443791,182
6,3,-1.2185778736263737,4.589470970183812,182
6,4,-0.937336163934426,6.248145943168609,183
6,5,6.175741715846996,85.73561112456943,183
6,6,0.2593227704918035,24.537507349857123,183
7,0,-2.596131258241758,8.812585614614466,182
7,1,-1.260905467032967,13.166511494246574,182
7,2,-1.747358901098901,7.532519868888787,182
7,3,-0.6397418021978022,5.526579161273997,182
7,4,-1.0622285191256833,5.007879593937542,183
7,5,14.567638464480876,195.9551348956779,183
7,6,-2.2066056939890717,13.163213882103967,183
8,0,-2.122829978021978,9.426295812425808,182
8,1,-1.0282470000000004,11.410627316497825,182
8,2,-1.1241077472527472,8.525919738851186,182
8,3,-0.5773433131868131,6.526849580542962,182
8,4,-0.932333131147541,7.179871957337089,183
8,5,16.420331814207653,220.16028799249776,183
8,6,-1.9327636174863385,19.216034938558714,183
9,0,-1.5355832692307696,13.141917116330879,182
9,1,-1.9140609835164837,13.321808042615038,182
9,2,0.12566043956044,12.741568505885414,182
9,3,0.28036607142857195,11.159278807289223,182
9,4,-0.9678240655737703,9.167028854224737,183
9,5,19.304859978142076,255.0612604898844,183
9,6,-1.9161452841530053,15.104697381526238,183
10,0,-2.764745065934066,21.89656979725441,182
10,1,-3.2445337472527473,16.484859652761834,182
10,2,-0.8221333131868126,19.64744502087457,182
10,3,-0.6405071868131869,15.525605175666806,182
10,4,-1.856960316939891,13.617198691702797,183
10,5,14.374588142076504,196.9578216963023,183
10,6,-1.9438683060109292,24.65548955186979,183
11,0,0.8326229120879122,44.62127794711024,182
11,1,-1.3844527252747256,30.391406497106743,182
11,2,-0.2557231208791208,30.243689821451955,182
11,3,4.024438917582417,53.19433132660166,182
11,4,-1.566657284153005,21.189153204874618,183
11,5,3.776449114754099,72.911281370721,183
11,6,-3.742626010928962,22.172936915788686,183
12,0,-3.2216103076923077,22.135058180075454,182
12,1,-1.8232505714285716,48.986229169524876,182
12,2,-0.3577187307692302,22.716685904419467,182
12,3,-1.21436660989011,22.14076589767472,182
12,4,-2.5177753770491806,18.8508120968971,183
12,5,7.083692530054645,119.85666782228587,183
12,6,-0.9071579453551915,35.101194783395066,183
13,0,-4.981289956043955,21.370747435265645,182
13,1,-3.410877351648351,19.206665926912343,182
13,2,-2.5795156263736265,17.797861866451566,182
13,3,-1.3486502197802195,19.519521827378604,182
13,4,-3.075476808743169,13.15371578943093,183
13,5,8.236764016393442,143.32868931141434,183
13,6,-4.095592256830602,28.37123931292116,183
14,0,-3.0190437087912083,28.310124332666337,182
14,1,-3.0854061043956045,21.242364367919897,182
14,2,2.0162896373626373,50.02971232240664,182
14,3,-3.2319830439560437,13.577234446847791,182
14,4,-1.8101120054644808,17.8839077946001,183
14,5,4.358985524590163,84.71669977150378,183
14,6,-4.109777644808743,29.467111261963886,183
15,0,-0.24767956043956052,25.70093648361528,182
15,1,0.906180417582417,22.143248290845605,182
15,2,-3.611197351648351,16.957159203403574,182
15,3,-2.66809293956044,14.80793119865309,182
15,4,-0.42042185792349746,29.51570204947642,183
15,5,5.226797928961749,60.990352887298215,183
15,6,-1.9006793661202188,27.789323177705715,183
16,0,1.5919787362637363,27.426162652479874,182
16,1,0.2091038681318683,18.764343402248706,182
16,2,-4.211086335164835,15.596803257736001,182
16,3,-1.563254104395604,18.66362585138278,182
16,4,-3.6911391912568305,19.3273793898548,183
16,5,4.12332443715847,55.2386735703005,183
16,6,-2.7312785737704917,23.51621753378922,183
