datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr,total_lmp_rt,time,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),dewpoint_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),visibility (undefined),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_0cm (undefined),soil_temperature_6cm (undefined),soil_temperature_18cm (undefined),soil_temperature_54cm (undefined),soil_moisture_0_1cm (undefined),soil_moisture_1_3cm (undefined),soil_moisture_3_9cm (undefined),soil_moisture_9_27cm (undefined),hourTime,isHoliday,error,hour_num,dow,mu,sigma,count,abs_deviation,threshold,is_anomaly
2025-06-05 04:00:00,6/5/2025 12:00:00 AM,51288,WESTERN HUB,,,HUB,,25.3,26.306872,1.413019,-0.406147,True,1,25.215472,2025-06-05T23:00,17.6,19.4,89,15.8,0.0,0.0,0.0,,3,1015.3,955.4,92,,1.3,8,2.9,,,,,,,,,11PM,0,-1.0914000000000001,4,3,-2.5146255934065933,8.698680839530725,182,1.4232255934065932,21.746702098826812,0
2025-06-05 05:00:00,6/5/2025 1:00:00 AM,51288,WESTERN HUB,,,HUB,,24.1,24.895102,0.987811,-0.192709,True,1,23.387369,2025-06-06T23:00,16.7,18.3,99,16.6,0.1,0.1,0.0,,51,1009.8,950.0,100,,4.9,262,10.8,,,,,,,,,11PM,0,-1.5077330000000018,5,3,-0.5752646098901099,7.7074554872166665,182,0.9324683901098919,19.268638718041665,0
