datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,51288,WESTERN HUB,,,HUB,,21.63,21.791302,0.0,0.162968,True,1
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,51288,WESTERN HUB,,,HUB,,20.62,20.756527,0.0,0.134027,True,1
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,51288,WESTERN HUB,,,HUB,,19.32,19.436927,0.0,0.11526,True,1
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,51288,WESTERN HUB,,,HUB,,20.14,20.239696,0.0,0.103029,True,1
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,51288,WESTERN HUB,,,HUB,,20.04,20.174661,0.0,0.137994,True,1
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,51288,WESTERN HUB,,,HUB,,18.73,18.904079,0.0,0.178246,True,1
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,51288,WESTERN HUB,,,HUB,,19.47,19.601796,0.0,0.131796,True,1
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,51288,WESTERN HUB,,,HUB,,21.61,21.67302,0.0,0.06552,True,1
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,51288,WESTERN HUB,,,HUB,,20.43,20.946275,0.533992,-0.013551,True,1
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,51288,WESTERN HUB,,,HUB,,19.32,20.257255,0.957438,-0.022683,True,1
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,51288,WESTERN HUB,,,HUB,,16.99,16.946849,0.00526,-0.048412,True,1
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,51288,WESTERN HUB,,,HUB,,18.76,18.669236,0.013446,-0.108377,True,1
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,51288,WESTERN HUB,,,HUB,,19.79,19.685407,0.033307,-0.139567,True,1
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,51288,WESTERN HUB,,,HUB,,19.91,19.745286,0.028628,-0.192509,True,1
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,51288,WESTERN HUB,,,HUB,,20.05,19.846649,0.0,-0.200851,True,1
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,51288,WESTERN HUB,,,HUB,,19.72,19.514835,0.0,-0.200165,True,1
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,51288,WESTERN HUB,,,HUB,,22.43,23.007889,0.760103,-0.179714,True,1
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,51288,WESTERN HUB,,,HUB,,28.33,28.444574,0.29184,-0.177266,True,1
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,51288,WESTERN HUB,,,HUB,,29.0,28.824817,0.132795,-0.310478,True,1
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,51288,WESTERN HUB,,,HUB,,26.35,26.044071,0.0,-0.30093,True,1
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,51288,WESTERN HUB,,,HUB,,28.72,28.454817,0.0,-0.267683,True,1
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,51288,WESTERN HUB,,,HUB,,22.4,22.221735,0.0,-0.175765,True,1
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,51288,WESTERN HUB,,,HUB,,31.21,31.013706,0.0,-0.200461,True,1
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,51288,WESTERN HUB,,,HUB,,21.96,21.880416,0.0,-0.076251,True,1
1/2/2023 5:00:00 AM,1/2/2023 12:00:00 AM,51288,WESTERN HUB,,,HUB,,21.47,21.49177,0.0,0.018437,True,1
1/2/2023 6:00:00 AM,1/2/2023 1:00:00 AM,51288,WESTERN HUB,,,HUB,,20.78,20.803507,0.0,0.028507,True,1
1/2/2023 7:00:00 AM,1/2/2023 2:00:00 AM,51288,WESTERN HUB,,,HUB,,19.79,19.832551,0.0,0.040885,True,1
1/2/2023 8:00:00 AM,1/2/2023 3:00:00 AM,51288,WESTERN HUB,,,HUB,,20.06,20.102786,0.0,0.041119,True,1
1/2/2023 9:00:00 AM,1/2/2023 4:00:00 AM,51288,WESTERN HUB,,,HUB,,21.26,21.310016,0.0,0.054183,True,1
1/2/2023 10:00:00 AM,1/2/2023 5:00:00 AM,51288,WESTERN HUB,,,HUB,,23.09,23.172829,0.0,0.086162,True,1
1/2/2023 11:00:00 AM,1/2/2023 6:00:00 AM,51288,WESTERN HUB,,,HUB,,26.75,27.461396,0.59381,0.122586,True,1
1/2/2023 12:00:00 PM,1/2/2023 7:00:00 AM,51288,WESTERN HUB,,,HUB,,33.88,37.184683,3.159866,0.142316,True,1
1/2/2023 1:00:00 PM,1/2/2023 8:00:00 AM,51288,WESTERN HUB,,,HUB,,27.14,28.717306,1.477195,0.105112,True,1
1/2/2023 2:00:00 PM,1/2/2023 9:00:00 AM,51288,WESTERN HUB,,,HUB,,24.92,25.070832,0.006389,0.145277,True,1
1/2/2023 3:00:00 PM,1/2/2023 10:00:00 AM,51288,WESTERN HUB,,,HUB,,37.51,37.65828,0.0,0.152447,True,1
1/2/2023 4:00:00 PM,1/2/2023 11:00:00 AM,51288,WESTERN HUB,,,HUB,,32.92,32.98512,0.0,0.060954,True,1
1/2/2023 5:00:00 PM,1/2/2023 12:00:00 PM,51288,WESTERN HUB,,,HUB,,38.75,38.922004,0.0,0.167837,True,1
