Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-02-01,32,27,29.5,0.5,35,0,0.22,2.5,5
2021-02-02,30,22,26.0,-3.1,39,0,0.12,1.9,6
2021-02-03,33,17,25.0,-4.2,40,0,0.00,0.0,6
2021-02-04,38,8,23.0,-6.3,42,0,0.05,0.3,5
2021-02-05,38,28,33.0,3.5,32,0,0.04,0.1,4
2021-02-06,31,17,24.0,-5.6,41,0,0.01,0.1,4
2021-02-07,25,12,18.5,-11.3,46,0,T,T,4
2021-02-08,28,10,19.0,-11.0,46,0,0.07,1.0,4
2021-02-09,29,22,25.5,-4.6,39,0,0.26,3.4,7
2021-02-10,26,18,22.0,-8.3,43,0,0.10,1.1,7
2021-02-11,27,19,23.0,-7.5,42,0,0.02,0.2,7
2021-02-12,28,21,24.5,-6.2,40,0,T,T,7
2021-02-13,28,24,26.0,-4.9,39,0,T,T,7
2021-02-14,27,23,25.0,-6.1,40,0,T,T,7
2021-02-15,33,20,26.5,-4.8,38,0,0.65,1.5,6
2021-02-16,34,10,22.0,-9.5,43,0,0.13,1.6,6
2021-02-17,27,8,17.5,-14.3,47,0,0.02,0.2,7
2021-02-18,29,22,25.5,-6.5,39,0,0.08,0.9,7
2021-02-19,27,19,23.0,-9.2,42,0,0.02,0.6,8
2021-02-20,23,8,15.5,-17.0,49,0,T,0.1,8
2021-02-21,34,2,18.0,-14.7,47,0,0.00,0.0,8
2021-02-22,41,32,36.5,3.5,28,0,0.11,0.6,7
2021-02-23,45,33,39.0,5.8,26,0,0.01,T,6
2021-02-24,63,29,46.0,12.5,19,0,0.08,0.0,4
2021-02-25,44,28,36.0,2.3,29,0,0.00,0.0,0
2021-02-26,43,23,33.0,-1.0,32,0,0.00,0.0,0
2021-02-27,51,36,43.5,9.2,21,0,0.03,0.0,0
2021-02-28,59,37,48.0,13.5,17,0,0.80,0.0,0
