Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-05-01,48,38,43.0,-14.2,22,0,0.34,T,0
2023-05-02,44,36,40.0,-17.5,25,0,0.39,T,0
2023-05-03,47,36,41.5,-16.3,23,0,0.18,T,0
2023-05-04,55,40,47.5,-10.5,17,0,0.06,0.0,0
2023-05-05,67,35,51.0,-7.3,14,0,0.00,0.0,0
2023-05-06,75,44,59.5,0.9,5,0,0.00,0.0,0
2023-05-07,65,55,60.0,1.1,5,0,0.12,0.0,0
2023-05-08,70,58,64.0,4.8,1,0,T,0.0,0
2023-05-09,72,51,61.5,2.1,3,0,0.07,0.0,0
2023-05-10,71,43,57.0,-2.7,8,0,0.00,0.0,0
2023-05-11,79,44,61.5,1.5,3,0,0.00,0.0,0
2023-05-12,82,49,65.5,5.3,0,1,0.00,0.0,0
2023-05-13,70,59,64.5,4.0,0,0,0.15,0.0,0
2023-05-14,75,57,66.0,5.3,0,1,0.00,0.0,0
2023-05-15,76,52,64.0,3.0,1,0,0.00,0.0,0
2023-05-16,74,46,60.0,-1.3,5,0,0.00,0.0,0
2023-05-17,64,45,54.5,-7.0,10,0,0.00,0.0,0
2023-05-18,74,38,56.0,-5.8,9,0,0.00,0.0,0
2023-05-19,72,56,64.0,2.0,1,0,0.01,0.0,0
2023-05-20,65,47,56.0,-6.3,9,0,0.41,0.0,0
2023-05-21,72,45,58.5,-4.1,6,0,0.00,0.0,0
2023-05-22,76,46,61.0,-1.8,4,0,0.00,0.0,0
2023-05-23,77,52,64.5,1.4,0,0,0.00,0.0,0
2023-05-24,79,51,65.0,1.7,0,0,0.00,0.0,0
2023-05-25,68,44,56.0,-7.6,9,0,0.00,0.0,0
2023-05-26,73,46,59.5,-4.4,5,0,0.00,0.0,0
2023-05-27,78,45,61.5,-2.7,3,0,0.00,0.0,0
2023-05-28,77,48,62.5,-1.9,2,0,0.00,0.0,0
2023-05-29,85,60,72.5,7.8,0,8,0.00,0.0,0
2023-05-30,83,60,71.5,6.5,0,7,0.00,0.0,0
2023-05-31,83,52,67.5,2.2,0,3,0.00,0.0,0
