Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-06-01,87,51,69.0,3.5,0,4,0.00,0.0,0
2023-06-02,89,57,73.0,7.2,0,8,0.00,0.0,0
2023-06-03,90,65,77.5,11.4,0,13,T,0.0,0
2023-06-04,80,61,70.5,4.1,0,6,0.00,0.0,0
2023-06-05,74,51,62.5,-4.2,2,0,0.00,0.0,0
2023-06-06,78,52,65.0,-2.0,0,0,0.00,0.0,0
2023-06-07,74,49,61.5,-5.8,3,0,0.00,0.0,0
2023-06-08,68,43,55.5,-12.0,9,0,0.00,0.0,0
2023-06-09,72,54,63.0,-4.8,2,0,0.00,0.0,0
2023-06-10,80,52,66.0,-2.1,0,1,0.00,0.0,0
2023-06-11,82,54,68.0,-0.4,0,3,0.03,0.0,0
2023-06-12,65,54,59.5,-9.1,5,0,0.33,0.0,0
2023-06-13,69,50,59.5,-9.4,5,0,0.51,0.0,0
2023-06-14,71,53,62.0,-7.2,3,0,0.35,0.0,0
2023-06-15,73,47,60.0,-9.4,5,0,0.31,0.0,0
2023-06-16,71,57,64.0,-5.7,1,0,1.08,0.0,0
2023-06-17,76,55,65.5,-4.4,0,1,0.00,0.0,0
2023-06-18,81,49,65.0,-5.2,0,0,0.00,0.0,0
2023-06-19,85,55,70.0,-0.4,0,5,0.00,0.0,0
2023-06-20,79,66,72.5,1.9,0,8,T,0.0,0
2023-06-21,79,59,69.0,-1.9,0,4,0.01,0.0,0
2023-06-22,74,57,65.5,-5.6,0,1,0.18,0.0,0
2023-06-23,76,60,68.0,-3.3,0,3,0.22,0.0,0
2023-06-24,77,64,70.5,-1.0,0,6,0.15,0.0,0
2023-06-25,84,62,73.0,1.4,0,8,0.00,0.0,0
2023-06-26,78,64,71.0,-0.8,0,6,0.27,0.0,0
2023-06-27,67,62,64.5,-7.5,0,0,0.31,0.0,0
2023-06-28,73,59,66.0,-6.1,0,1,0.01,0.0,0
2023-06-29,80,55,67.5,-4.8,0,3,0.00,0.0,0
2023-06-30,79,63,71.0,-1.4,0,6,0.00,0.0,0
