Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-01-01,42,28,35.0,4.8,30,0,0.67,0.0,0
2021-01-02,49,36,42.5,12.5,22,0,0.04,0.0,0
2021-01-03,41,35,38.0,8.1,27,0,0.44,0.0,0
2021-01-04,36,32,34.0,4.3,31,0,0.02,T,0
2021-01-05,35,31,33.0,3.4,32,0,0.04,0.2,T
2021-01-06,36,30,33.0,3.6,32,0,T,T,0
2021-01-07,34,27,30.5,1.2,34,0,0.00,0.0,0
2021-01-08,34,26,30.0,0.8,35,0,0.00,0.0,0
2021-01-09,38,20,29.0,0.0,36,0,0.00,0.0,0
2021-01-10,37,21,29.0,0.1,36,0,0.00,0.0,0
2021-01-11,39,23,31.0,2.2,34,0,0.00,0.0,0
2021-01-12,29,25,27.0,-1.7,38,0,0.00,0.0,0
2021-01-13,43,22,32.5,3.8,32,0,0.00,0.0,0
2021-01-14,45,34,39.5,10.9,25,0,T,T,0
2021-01-15,46,28,37.0,8.5,28,0,0.13,T,0
2021-01-16,32,25,28.5,0.0,36,0,0.21,3.2,0
2021-01-17,35,30,32.5,4.1,32,0,0.11,0.9,2
2021-01-18,32,29,30.5,2.1,34,0,0.02,0.2,2
2021-01-19,37,29,33.0,4.6,32,0,T,0.2,1
2021-01-20,34,18,26.0,-2.4,39,0,0.02,0.4,1
2021-01-21,44,19,31.5,3.2,33,0,0.00,0.0,T
2021-01-22,37,25,31.0,2.6,34,0,0.01,0.1,T
2021-01-23,25,16,20.5,-7.9,44,0,0.01,0.1,T
2021-01-24,27,12,19.5,-8.9,45,0,T,T,T
2021-01-25,33,25,29.0,0.6,36,0,0.04,0.2,0
2021-01-26,43,31,37.0,8.5,28,0,0.10,T,0
2021-01-27,33,25,29.0,0.5,36,0,0.00,T,0
2021-01-28,25,18,21.5,-7.1,43,0,0.02,0.8,0
2021-01-29,26,13,19.5,-9.2,45,0,T,T,T
2021-01-30,30,8,19.0,-9.8,46,0,0.00,0.0,0
2021-01-31,32,27,29.5,0.6,35,0,0.39,4.5,1
