Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-04-01,42,33,37.5,-8.2,27,0,0.05,0.2,0
2022-04-02,49,34,41.5,-4.6,23,0,0.00,0.0,0
2022-04-03,45,35,40.0,-6.5,25,0,0.04,T,0
2022-04-04,47,28,37.5,-9.5,27,0,T,0.0,0
2022-04-05,58,32,45.0,-2.4,20,0,0.43,0.0,0
2022-04-06,58,48,53.0,5.2,12,0,0.72,0.0,0
2022-04-07,55,40,47.5,-0.7,17,0,0.06,0.0,0
2022-04-08,48,36,42.0,-6.6,23,0,0.01,0.0,0
2022-04-09,46,35,40.5,-8.6,24,0,0.24,T,0
2022-04-10,52,35,43.5,-6.0,21,0,T,T,0
2022-04-11,59,36,47.5,-2.4,17,0,0.25,0.0,0
2022-04-12,66,48,57.0,6.7,8,0,0.10,0.0,0
2022-04-13,82,55,68.5,17.8,0,4,T,0.0,0
2022-04-14,69,47,58.0,6.9,7,0,0.02,0.0,0
2022-04-15,69,41,55.0,3.5,10,0,0.00,0.0,0
2022-04-16,63,39,51.0,-0.9,14,0,0.26,0.0,0
2022-04-17,46,32,39.0,-13.3,26,0,T,T,0
2022-04-18,41,33,37.0,-15.7,28,0,0.61,T,0
2022-04-19,40,33,36.5,-16.6,28,0,0.17,0.7,T
2022-04-20,56,29,42.5,-10.9,22,0,0.00,0.0,0
2022-04-21,59,48,53.5,-0.3,11,0,0.19,0.0,0
2022-04-22,67,42,54.5,0.3,10,0,T,0.0,0
2022-04-23,82,53,67.5,13.0,0,3,0.00,0.0,0
2022-04-24,84,57,70.5,15.6,0,6,0.00,0.0,0
2022-04-25,82,56,69.0,13.8,0,4,0.08,0.0,0
2022-04-26,56,42,49.0,-6.6,16,0,T,0.0,0
2022-04-27,43,32,37.5,-18.4,27,0,0.00,0.0,0
2022-04-28,53,29,41.0,-15.2,24,0,0.00,0.0,0
2022-04-29,64,29,46.5,-10.0,18,0,0.00,0.0,0
2022-04-30,70,43,56.5,-0.4,8,0,0.00,0.0,0
