Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-03-01,71,29,50.0,15.2,15,0,T,0.0,0
2023-03-02,62,36,49.0,13.9,16,0,T,0.0,0
2023-03-03,45,31,38.0,2.6,27,0,0.60,0.0,0
2023-03-04,49,34,41.5,5.8,23,0,0.08,T,0
2023-03-05,52,36,44.0,8.0,21,0,0.00,0.0,0
2023-03-06,59,30,44.5,8.2,20,0,0.08,0.0,0
2023-03-07,43,28,35.5,-1.1,29,0,0.01,T,0
2023-03-08,45,26,35.5,-1.4,29,0,0.00,0.0,0
2023-03-09,49,24,36.5,-0.7,28,0,0.00,0.0,0
2023-03-10,42,31,36.5,-1.0,28,0,0.15,0.1,0
2023-03-11,33,29,31.0,-6.8,34,0,T,T,0
2023-03-12,38,29,33.5,-4.6,31,0,T,T,0
2023-03-13,38,27,32.5,-6.0,32,0,0.09,1.7,0
2023-03-14,28,23,25.5,-13.3,39,0,0.04,1.2,1
2023-03-15,44,21,32.5,-6.7,32,0,0.00,0.0,1
2023-03-16,57,28,42.5,3.0,22,0,0.02,0.0,0
2023-03-17,55,34,44.5,4.6,20,0,0.14,0.0,0
2023-03-18,37,19,28.0,-12.2,37,0,0.01,0.1,0
2023-03-19,32,17,24.5,-16.1,40,0,T,T,0
2023-03-20,47,21,34.0,-6.9,31,0,0.00,0.0,0
2023-03-21,56,26,41.0,-0.3,24,0,0.00,0.0,0
2023-03-22,56,40,48.0,6.3,17,0,0.39,0.0,0
2023-03-23,65,44,54.5,12.4,10,0,0.56,0.0,0
2023-03-24,45,36,40.5,-2.0,24,0,0.10,0.0,0
2023-03-25,69,42,55.5,12.6,9,0,0.23,0.0,0
2023-03-26,57,34,45.5,2.3,19,0,0.00,0.0,0
2023-03-27,55,40,47.5,3.9,17,0,0.02,0.0,0
2023-03-28,51,36,43.5,-0.6,21,0,0.00,0.0,0
2023-03-29,52,27,39.5,-5.0,25,0,0.05,T,0
2023-03-30,50,25,37.5,-7.4,27,0,0.00,0.0,0
2023-03-31,59,39,49.0,3.7,16,0,0.36,0.0,0
