Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-07-01,89,65,77.0,4.5,0,12,0.06,0.0,0
2022-07-02,85,68,76.5,3.8,0,12,0.04,0.0,0
2022-07-03,85,63,74.0,1.2,0,9,0.00,0.0,0
2022-07-04,86,58,72.0,-0.9,0,7,0.00,0.0,0
2022-07-05,83,69,76.0,3.1,0,11,0.22,0.0,0
2022-07-06,82,70,76.0,3.0,0,11,0.67,0.0,0
2022-07-07,84,67,75.5,2.4,0,11,0.00,0.0,0
2022-07-08,78,66,72.0,-1.2,0,7,T,0.0,0
2022-07-09,85,68,76.5,3.3,0,12,0.00,0.0,0
2022-07-10,86,63,74.5,1.3,0,10,0.00,0.0,0
2022-07-11,86,63,74.5,1.2,0,10,0.00,0.0,0
2022-07-12,89,72,80.5,7.2,0,16,T,0.0,0
2022-07-13,84,63,73.5,0.2,0,9,0.27,0.0,0
2022-07-14,80,61,70.5,-2.8,0,6,0.00,0.0,0
2022-07-15,84,59,71.5,-1.9,0,7,0.00,0.0,0
2022-07-16,76,63,69.5,-3.9,0,5,0.11,0.0,0
2022-07-17,77,65,71.0,-2.4,0,6,1.17,0.0,0
2022-07-18,77,68,72.5,-0.8,0,8,0.17,0.0,0
2022-07-19,85,67,76.0,2.7,0,11,0.00,0.0,0
2022-07-20,88,69,78.5,5.2,0,14,0.21,0.0,0
2022-07-21,86,67,76.5,3.2,0,12,T,0.0,0
2022-07-22,88,68,78.0,4.7,0,13,0.00,0.0,0
2022-07-23,89,66,77.5,4.2,0,13,0.14,0.0,0
2022-07-24,90,68,79.0,5.8,0,14,T,0.0,0
2022-07-25,82,65,73.5,0.3,0,9,0.49,0.0,0
2022-07-26,78,59,68.5,-4.7,0,4,0.00,0.0,0
2022-07-27,79,66,72.5,-0.6,0,8,0.08,0.0,0
2022-07-28,83,72,77.5,4.4,0,13,0.06,0.0,0
2022-07-29,79,63,71.0,-2.1,0,6,T,0.0,0
2022-07-30,82,60,71.0,-2.0,0,6,0.00,0.0,0
2022-07-31,75,62,68.5,-4.5,0,4,T,0.0,0
