Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-12-01,52,43,47.5,10.0,17,0,0.17,0.0,0
2023-12-02,61,50,55.5,18.3,9,0,0.00,0.0,0
2023-12-03,59,45,52.0,15.0,13,0,0.59,0.0,0
2023-12-04,45,39,42.0,5.3,23,0,T,0.0,0
2023-12-05,39,35,37.0,0.6,28,0,0.09,T,0
2023-12-06,38,32,35.0,-1.1,30,0,T,T,0
2023-12-07,46,34,40.0,4.2,25,0,0.00,0.0,0
2023-12-08,61,35,48.0,12.5,17,0,0.00,0.0,0
2023-12-09,61,52,56.5,21.2,8,0,0.06,0.0,0
2023-12-10,61,36,48.5,13.5,16,0,0.03,0.0,0
2023-12-11,39,33,36.0,1.3,29,0,0.01,T,0
2023-12-12,48,30,39.0,4.5,26,0,0.00,0.0,0
2023-12-13,41,25,33.0,-1.2,32,0,0.00,0.0,0
2023-12-14,46,22,34.0,0.0,31,0,0.00,0.0,0
2023-12-15,55,32,43.5,9.8,21,0,0.00,0.0,0
2023-12-16,58,29,43.5,10.0,21,0,0.00,0.0,0
2023-12-17,50,43,46.5,13.2,18,0,0.43,0.0,0
2023-12-18,45,30,37.5,4.5,27,0,0.07,0.6,0
2023-12-19,32,24,28.0,-4.8,37,0,0.03,0.5,T
2023-12-20,40,20,30.0,-2.6,35,0,0.00,0.0,T
2023-12-21,42,30,36.0,3.7,29,0,0.00,0.0,0
2023-12-22,47,38,42.5,10.4,22,0,0.00,0.0,0
2023-12-23,54,39,46.5,14.6,18,0,0.03,0.0,0
2023-12-24,54,46,50.0,18.3,15,0,0.01,0.0,0
2023-12-25,60,46,53.0,21.5,12,0,T,0.0,0
2023-12-26,57,49,53.0,21.7,12,0,0.07,0.0,0
2023-12-27,55,46,50.5,19.4,14,0,1.03,0.0,0
2023-12-28,49,42,45.5,14.6,19,0,0.12,0.0,0
2023-12-29,42,32,37.0,6.3,28,0,T,T,0
2023-12-30,40,36,38.0,7.5,27,0,0.05,T,0
2023-12-31,39,36,37.5,7.2,27,0,0.01,T,0
