Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-01-01,49,39,44.0,13.8,21,0,T,0.0,0
2023-01-02,52,47,49.5,19.5,15,0,0.04,0.0,0
2023-01-03,60,47,53.5,23.6,11,0,0.74,0.0,0
2023-01-04,60,45,52.5,22.8,12,0,0.06,0.0,0
2023-01-05,48,38,43.0,13.4,22,0,T,0.0,0
2023-01-06,40,33,36.5,7.1,28,0,0.12,T,0
2023-01-07,34,31,32.5,3.2,32,0,T,T,0
2023-01-08,39,30,34.5,5.3,30,0,T,T,0
2023-01-09,38,27,32.5,3.5,32,0,0.00,0.0,0
2023-01-10,42,23,32.5,3.6,32,0,0.00,0.0,0
2023-01-11,47,26,36.5,7.7,28,0,0.03,0.0,0
2023-01-12,51,39,45.0,16.3,20,0,0.73,0.0,0
2023-01-13,39,27,33.0,4.3,32,0,0.10,0.5,0
2023-01-14,27,23,25.0,-3.6,40,0,T,0.2,1
2023-01-15,36,15,25.5,-3.0,39,0,0.00,0.0,T
2023-01-16,45,18,31.5,3.0,33,0,T,0.0,0
2023-01-17,52,36,44.0,15.6,21,0,0.32,0.0,0
2023-01-18,44,37,40.5,12.1,24,0,0.01,0.0,0
2023-01-19,58,36,47.0,18.6,18,0,0.74,0.0,0
2023-01-20,42,32,37.0,8.6,28,0,0.04,0.2,0
2023-01-21,34,30,32.0,3.7,33,0,0.01,T,0
2023-01-22,34,25,29.5,1.1,35,0,0.30,2.2,0
2023-01-23,32,30,31.0,2.6,34,0,0.08,1.0,3
2023-01-24,33,28,30.5,2.1,34,0,0.00,0.0,3
2023-01-25,45,29,37.0,8.6,28,0,0.31,1.1,3
2023-01-26,36,29,32.5,4.0,32,0,0.14,1.2,0
2023-01-27,39,25,32.0,3.5,33,0,T,0.1,T
2023-01-28,49,36,42.5,13.9,22,0,0.00,0.0,0
2023-01-29,46,36,41.0,12.3,24,0,0.11,0.0,0
2023-01-30,39,29,34.0,5.2,31,0,0.11,0.8,0
2023-01-31,29,21,25.0,-3.9,40,0,0.03,0.8,2
