Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-12-01,33,23,28.0,-9.5,37,0,0.00,T,0
2022-12-02,55,22,38.5,1.3,26,0,T,0.0,0
2022-12-03,56,30,43.0,6.0,22,0,0.22,0.0,0
2022-12-04,37,23,30.0,-6.7,35,0,0.00,0.0,0
2022-12-05,50,21,35.5,-0.9,29,0,0.00,0.0,0
2022-12-06,50,38,44.0,7.9,21,0,0.22,0.0,0
2022-12-07,58,47,52.5,16.7,12,0,0.12,0.0,0
2022-12-08,47,37,42.0,6.5,23,0,0.00,0.0,0
2022-12-09,44,30,37.0,1.7,28,0,0.00,0.0,0
2022-12-10,43,33,38.0,3.0,27,0,0.08,0.0,0
2022-12-11,42,37,39.5,4.8,25,0,0.06,0.0,0
2022-12-12,37,33,35.0,0.5,30,0,T,T,0
2022-12-13,38,28,33.0,-1.2,32,0,0.00,0.0,0
2022-12-14,39,27,33.0,-1.0,32,0,0.00,0.0,0
2022-12-15,41,35,38.0,4.3,27,0,0.58,0.0,0
2022-12-16,39,32,35.5,2.0,29,0,0.02,T,0
2022-12-17,33,28,30.5,-2.8,34,0,0.01,0.3,0
2022-12-18,28,24,26.0,-7.0,39,0,0.04,0.9,1
2022-12-19,26,22,24.0,-8.8,41,0,0.01,0.1,1
2022-12-20,34,22,28.0,-4.6,37,0,0.00,0.0,0
2022-12-21,39,18,28.5,-3.8,36,0,0.00,0.0,0
2022-12-22,39,33,36.0,3.9,29,0,0.10,0.0,0
2022-12-23,40,-5,17.5,-14.4,47,0,0.16,1.2,T
2022-12-24,12,-3,4.5,-27.2,60,0,T,T,1
2022-12-25,13,7,10.0,-21.5,55,0,T,0.1,1
2022-12-26,20,7,13.5,-17.8,51,0,0.02,0.3,1
2022-12-27,28,20,24.0,-7.1,41,0,T,T,1
2022-12-28,44,18,31.0,0.1,34,0,0.00,0.0,1
2022-12-29,57,26,41.5,10.8,23,0,0.00,0.0,0
2022-12-30,64,45,54.5,24.0,10,0,T,0.0,0
2022-12-31,55,45,50.0,19.7,15,0,0.12,0.0,0
