Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-05-01,72,52,62.0,4.8,3,0,0.39,0.0,0
2022-05-02,68,52,60.0,2.5,5,0,0.00,0.0,0
2022-05-03,70,49,59.5,1.7,5,0,0.64,0.0,0
2022-05-04,61,53,57.0,-1.0,8,0,0.16,0.0,0
2022-05-05,67,51,59.0,0.7,6,0,0.01,0.0,0
2022-05-06,56,49,52.5,-6.1,12,0,1.67,0.0,0
2022-05-07,53,45,49.0,-9.9,16,0,0.59,0.0,0
2022-05-08,65,41,53.0,-6.2,12,0,0.00,0.0,0
2022-05-09,72,40,56.0,-3.4,9,0,0.00,0.0,0
2022-05-10,77,43,60.0,0.3,5,0,0.00,0.0,0
2022-05-11,81,46,63.5,3.5,1,0,0.00,0.0,0
2022-05-12,81,47,64.0,3.8,1,0,0.00,0.0,0
2022-05-13,79,61,70.0,9.5,0,5,T,0.0,0
2022-05-14,81,60,70.5,9.8,0,6,0.01,0.0,0
2022-05-15,82,59,70.5,9.5,0,6,0.00,0.0,0
2022-05-16,70,51,60.5,-0.8,4,0,0.47,0.0,0
2022-05-17,70,50,60.0,-1.5,5,0,0.00,0.0,0
2022-05-18,60,42,51.0,-10.8,14,0,0.24,0.0,0
2022-05-19,76,56,66.0,4.0,0,1,T,0.0,0
2022-05-20,83,64,73.5,11.2,0,9,0.02,0.0,0
2022-05-21,87,64,75.5,12.9,0,11,0.02,0.0,0
2022-05-22,76,53,64.5,1.7,0,0,0.01,0.0,0
2022-05-23,62,50,56.0,-7.1,9,0,0.01,0.0,0
2022-05-24,68,50,59.0,-4.3,6,0,0.00,0.0,0
2022-05-25,75,54,64.5,0.9,0,0,0.00,0.0,0
2022-05-26,78,58,68.0,4.1,0,3,0.08,0.0,0
2022-05-27,73,59,66.0,1.8,0,1,0.59,0.0,0
2022-05-28,70,55,62.5,-1.9,2,0,0.12,0.0,0
2022-05-29,79,52,65.5,0.8,0,1,0.00,0.0,0
2022-05-30,86,59,72.5,7.5,0,8,0.00,0.0,0
2022-05-31,88,61,74.5,9.2,0,10,0.00,0.0,0
