Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-04-01,64,48,56.0,10.3,9,0,0.74,0.0,0
2024-04-02,63,53,58.0,11.9,7,0,2.68,0.0,0
2024-04-03,62,38,50.0,3.5,15,0,0.68,0.0,0
2024-04-04,47,37,42.0,-5.0,23,0,0.12,T,0
2024-04-05,43,36,39.5,-7.9,25,0,0.05,T,0
2024-04-06,54,36,45.0,-2.8,20,0,T,0.0,0
2024-04-07,61,31,46.0,-2.2,19,0,0.00,0.0,0
2024-04-08,74,48,61.0,12.4,4,0,0.02,0.0,0
2024-04-09,76,49,62.5,13.4,2,0,0.14,0.0,0
2024-04-10,66,58,62.0,12.5,3,0,0.09,0.0,0
2024-04-11,69,58,63.5,13.6,1,0,2.77,0.0,0
2024-04-12,60,46,53.0,2.7,12,0,0.21,0.0,0
2024-04-13,60,45,52.5,1.8,12,0,T,0.0,0
2024-04-14,82,44,63.0,11.9,2,0,0.13,0.0,0
2024-04-15,74,55,64.5,13.0,0,0,0.00,0.0,0
2024-04-16,80,45,62.5,10.6,2,0,0.00,0.0,0
2024-04-17,82,61,71.5,19.2,0,7,0.21,0.0,0
2024-04-18,73,57,65.0,12.3,0,0,0.00,0.0,0
2024-04-19,70,54,62.0,8.9,3,0,0.01,0.0,0
2024-04-20,59,40,49.5,-3.9,15,0,0.00,0.0,0
2024-04-21,49,34,41.5,-12.3,23,0,0.00,0.0,0
2024-04-22,62,33,47.5,-6.7,17,0,0.00,0.0,0
2024-04-23,68,41,54.5,0.0,10,0,T,0.0,0
2024-04-24,61,42,51.5,-3.4,13,0,0.01,0.0,0
2024-04-25,57,40,48.5,-6.7,16,0,0.00,0.0,0
2024-04-26,70,39,54.5,-1.1,10,0,0.00,0.0,0
2024-04-27,81,54,67.5,11.6,0,3,0.07,0.0,0
2024-04-28,83,64,73.5,17.3,0,9,0.00,0.0,0
2024-04-29,83,61,72.0,15.5,0,7,0.00,0.0,0
2024-04-30,73,58,65.5,8.6,0,1,T,0.0,0
