Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-01-01,38,32,35.0,4.8,30,0,0.08,0.4,0
2024-01-02,35,32,33.5,3.5,31,0,0.00,0.0,0
2024-01-03,41,32,36.5,6.6,28,0,T,T,0
2024-01-04,36,27,31.5,1.8,33,0,T,T,0
2024-01-05,38,20,29.0,-0.6,36,0,0.00,0.0,0
2024-01-06,35,27,31.0,1.6,34,0,0.21,1.7,0
2024-01-07,36,33,34.5,5.2,30,0,0.09,0.3,1
2024-01-08,40,33,36.5,7.3,28,0,0.01,T,0
2024-01-09,50,34,42.0,13.0,23,0,1.43,0.8,0
2024-01-10,42,34,38.0,9.1,27,0,0.07,T,0
2024-01-11,43,33,38.0,9.2,27,0,T,T,0
2024-01-12,46,28,37.0,8.3,28,0,0.35,T,0
2024-01-13,46,27,36.5,7.8,28,0,0.09,T,0
2024-01-14,29,11,20.0,-8.6,45,0,0.05,1.0,1
2024-01-15,22,8,15.0,-13.5,50,0,T,T,1
2024-01-16,19,10,14.5,-14.0,50,0,0.07,2.4,1
2024-01-17,20,7,13.5,-14.9,51,0,0.00,0.0,1
2024-01-18,29,20,24.5,-3.9,40,0,T,T,1
2024-01-19,27,19,23.0,-5.4,42,0,0.25,2.9,2
2024-01-20,19,10,14.5,-13.9,50,0,T,T,4
2024-01-21,25,14,19.5,-8.8,45,0,0.01,0.4,4
2024-01-22,39,9,24.0,-4.4,41,0,0.00,0.0,4
2024-01-23,45,35,40.0,11.6,25,0,0.08,0.0,2
2024-01-24,56,42,49.0,20.6,16,0,0.46,0.0,0
2024-01-25,59,53,56.0,27.6,9,0,0.66,0.0,0
2024-01-26,64,46,55.0,26.5,10,0,0.02,0.0,0
2024-01-27,47,43,45.0,16.5,20,0,0.30,0.0,0
2024-01-28,46,35,40.5,11.9,24,0,1.03,T,0
2024-01-29,36,33,34.5,5.8,30,0,0.02,T,0
2024-01-30,40,33,36.5,7.7,28,0,T,T,0
2024-01-31,45,32,38.5,9.6,26,0,0.00,0.0,0
