Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-08-01,79,57,68.0,-5.0,0,3,T,0.0,0
2023-08-02,80,59,69.5,-3.4,0,5,0.00,0.0,0
2023-08-03,86,60,73.0,0.1,0,8,0.00,0.0,0
2023-08-04,87,66,76.5,3.7,0,12,0.00,0.0,0
2023-08-05,84,62,73.0,0.2,0,8,0.00,0.0,0
2023-08-06,87,66,76.5,3.8,0,12,T,0.0,0
2023-08-07,80,65,72.5,-0.2,0,8,0.49,0.0,0
2023-08-08,83,62,72.5,-0.1,0,8,0.00,0.0,0
2023-08-09,83,64,73.5,0.9,0,9,0.00,0.0,0
2023-08-10,81,67,74.0,1.5,0,9,0.34,0.0,0
2023-08-11,83,64,73.5,1.0,0,9,T,0.0,0
2023-08-12,86,66,76.0,3.6,0,11,0.68,0.0,0
2023-08-13,84,67,75.5,3.2,0,11,0.00,0.0,0
2023-08-14,80,68,74.0,1.7,0,9,0.27,0.0,0
2023-08-15,80,66,73.0,0.8,0,8,T,0.0,0
2023-08-16,76,65,70.5,-1.6,0,6,0.03,0.0,0
2023-08-17,80,65,72.5,0.5,0,8,0.16,0.0,0
2023-08-18,75,56,65.5,-6.4,0,1,T,0.0,0
2023-08-19,78,52,65.0,-6.8,0,0,0.00,0.0,0
2023-08-20,85,58,71.5,-0.2,0,7,0.00,0.0,0
2023-08-21,89,66,77.5,5.9,0,13,0.00,0.0,0
2023-08-22,80,63,71.5,0.1,0,7,0.00,0.0,0
2023-08-23,78,59,68.5,-2.8,0,4,0.64,0.0,0
2023-08-24,83,67,75.0,3.8,0,10,0.08,0.0,0
2023-08-25,84,69,76.5,5.5,0,12,0.02,0.0,0
2023-08-26,82,68,75.0,4.2,0,10,0.00,0.0,0
2023-08-27,80,64,72.0,1.4,0,7,0.00,0.0,0
2023-08-28,82,62,72.0,1.5,0,7,0.00,0.0,0
2023-08-29,83,66,74.5,4.2,0,10,0.00,0.0,0
2023-08-30,72,61,66.5,-3.6,0,2,T,0.0,0
2023-08-31,78,58,68.0,-1.8,0,3,0.00,0.0,0
