datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Coal,10159,0.114,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Gas,34517,0.389,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Hydro,3477,0.039,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Multiple Fuels,225,0.002,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Nuclear,31939,0.360,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Oil,208,0.002,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Other Renewables,565,0.006,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Solar,6171,0.069,True
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Storage,10,0.000,False
6/1/2025 10:00:00 PM,6/1/2025 6:00:00 PM,Wind,1272,0.014,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Coal,9612,0.109,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Gas,33612,0.382,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Hydro,2728,0.031,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Multiple Fuels,111,0.001,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Nuclear,31913,0.362,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Oil,210,0.002,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Other Renewables,564,0.006,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Solar,7741,0.088,True
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Storage,0,0.000,False
6/1/2025 9:00:00 PM,6/1/2025 5:00:00 PM,Wind,1450,0.016,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Coal,9311,0.108,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Gas,30037,0.350,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Hydro,2707,0.031,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Multiple Fuels,24,0.000,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Nuclear,31894,0.372,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Oil,211,0.002,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Other Renewables,557,0.006,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Solar,9365,0.109,True
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Storage,0,0.000,False
6/1/2025 8:00:00 PM,6/1/2025 4:00:00 PM,Wind,1584,0.018,True
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Coal,9385,0.113,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Gas,26565,0.319,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Hydro,2373,0.028,True
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Nuclear,31886,0.383,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Oil,213,0.002,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Other Renewables,556,0.006,True
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Solar,10588,0.127,True
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Storage,0,0.000,False
6/1/2025 7:00:00 PM,6/1/2025 3:00:00 PM,Wind,1494,0.018,True
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Coal,9394,0.115,False
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Gas,24815,0.304,False
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Hydro,1918,0.023,True
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Nuclear,31876,0.391,False
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Oil,213,0.002,False
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Other Renewables,554,0.006,True
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Solar,11269,0.138,True
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Storage,0,0.000,False
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,Wind,1406,0.017,True
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Coal,9537,0.115,False
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Gas,25590,0.310,False
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Hydro,1516,0.018,True
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Nuclear,31902,0.387,False
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Oil,213,0.002,False
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Other Renewables,562,0.006,True
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Solar,11735,0.142,True
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Storage,0,0.000,False
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,Wind,1372,0.016,True
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Coal,9611,0.116,False
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Gas,25469,0.309,False
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Hydro,1379,0.016,True
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Multiple Fuels,3,0.000,False
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Nuclear,31935,0.387,False
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Oil,215,0.002,False
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Other Renewables,553,0.006,True
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Solar,11744,0.142,True
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Storage,0,0.000,False
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,Wind,1457,0.017,True
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Coal,9560,0.117,False
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Gas,25089,0.307,False
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Hydro,1377,0.016,True
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Nuclear,31963,0.391,False
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Oil,217,0.002,False
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Other Renewables,542,0.006,True
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Solar,11365,0.139,True
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Storage,0,0.000,False
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,Wind,1512,0.018,True
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Coal,9395,0.115,False
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Gas,26254,0.321,False
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Hydro,1407,0.017,True
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Multiple Fuels,3,0.000,False
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Nuclear,31954,0.391,False
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Oil,219,0.002,False
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Other Renewables,546,0.006,True
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Solar,10376,0.127,True
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,Storage,0,0.000,False
